Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Philippines,2021-10-26 01:22:13,12.879721,121.774017,2761307,41942,,,2519.8755788921053,,,1.5189183962522097,608,PHL,266065,4388
Poland,2021-10-26 01:22:13,51.9194,19.1451,2975880,76447,,,7863.003828216559,,,2.568887186311276,616,POL,69693,875
Portugal,2021-10-26 01:22:13,39.3999,-8.2245,1085451,18138,,,10645.11317232122,,,1.6710104832000707,620,PRT,18193,179
Qatar,2021-10-26 01:22:13,25.3548,51.1839,238640,609,,,8283.06248394688,,,0.25519611129735165,634,QAT,2220,4
Romania,2021-10-26 01:22:13,45.9432,24.9668,1571115,44980,,,8166.862307007675,,,2.862934922013984,642,ROU,367822,8338
Russia,2021-10-26 01:22:13,61.524,105.3188,8149946,227506,,,5584.661772140727,,,2.7915031584258347,643,RUS,799887,26219
Rwanda,2021-10-26 01:22:13,-1.9403,29.8739,99431,1320,,,767.6760002869008,,,1.3275537810139697,646,RWA,2535,68
Saint Kitts and Nevis,2021-10-26 01:22:13,17.357822,-62.782998,2625,21,,,4934.952624454805,,,0.8,659,KNA,790,11
Saint Lucia,2021-10-26 01:22:13,13.9094,-60.9789,12426,241,,,6766.905009557315,,,1.9394817318525672,662,LCA,1282,56
Saint Vincent and the Grenadines,2021-10-26 01:22:13,12.9843,-61.2872,4850,60,,,4371.4566414594365,,,1.2371134020618555,670,VCT,1512,43
Samoa,2021-10-26 01:22:13,-13.759,-172.1046,3,0,,,1.5295977158007443,,,0.0,882,WSM,0,0
San Marino,2021-10-26 01:22:13,43.9424,12.4578,5509,92,,,16232.541693676703,,,1.6699945543655836,674,SMR,70,1
Sao Tome and Principe,2021-10-26 01:22:13,0.1864,6.6131,3697,56,,,1686.887721811819,,,1.5147416824452258,678,STP,353,7
Saudi Arabia,2021-10-26 01:22:13,23.885942,45.079162,548303,8780,,,1574.955749672968,,,1.6013043882670712,682,SAU,1326,79
Senegal,2021-10-26 01:22:13,14.4974,-14.4524,73896,1878,,,441.3300820058373,,,2.541409548554725,686,SEN,151,23
Serbia,2021-10-26 01:22:13,44.0165,21.0059,1104117,9571,,,12636.720202990144,,,0.8668465389084671,688,SRB,187143,1458
Seychelles,2021-10-26 01:22:13,-4.6796,55.492,22135,119,,,22508.64348179784,,,0.5376101197199006,690,SYC,821,9
Sierra Leone,2021-10-26 01:22:13,8.460555000000001,-11.779889,6397,121,,,80.19320582901936,,,1.8915116460841017,694,SLE,4,0
Singapore,2021-10-26 01:22:13,1.2833,103.8333,175818,329,,,3005.259691611244,,,0.18712532277696253,702,SGP,84752,237
Slovakia,2021-10-26 01:22:13,48.669,19.699,457431,12917,,,8378.404961643097,,,2.8238138648233284,703,SVK,47950,307
Slovenia,2021-10-26 01:22:13,46.1512,14.9955,320620,4693,,,15422.341856299292,,,1.4637265298484188,705,SVN,30243,146
Solomon Islands,2021-10-26 01:22:13,-9.6457,160.1562,20,0,,,3.0634533083764004,,,0.0,90,SLB,0,0
Somalia,2021-10-26 01:22:13,5.152149,46.199616,21998,1208,,,138.41123060092482,,,5.491408309846348,706,SOM,1546,77
South Africa,2021-10-26 01:22:13,-30.5595,22.9375,2919778,88934,,,4923.018869578808,,,3.045916504610967,710,ZAF,22689,1873
South Sudan,2021-10-26 01:22:13,6.877000000000002,31.307,12293,133,,,109.82041820022621,,,1.0819165378670788,728,SSD,331,5
Spain,2021-10-26 01:22:13,40.463667,-3.74922,5002217,87186,,,10698.834812258674,,,1.7429471772216198,724,ESP,51131,903
Sri Lanka,2021-10-26 01:22:13,7.873054,80.77179699999998,536645,13640,,,2506.1352200156443,,,2.54171752275713,144,LKA,22475,931
Sudan,2021-10-26 01:22:13,12.8628,30.2176,40433,3099,,,92.20906282382951,,,7.6645314470853005,729,SDN,2161,205
Summer Olympics 2020,2021-10-26 01:22:13,35.6491,139.7737,865,0,,,,,,0.0,2020,,0,0
Suriname,2021-10-26 01:22:13,3.9193,-56.0278,48118,1058,,,8202.388542089275,,,2.198761378278399,740,SUR,8210,213
Sweden,2021-10-26 01:22:13,60.1282,18.6435,1165996,14993,,,11545.349317326896,,,1.2858534677648978,752,SWE,16589,172
Switzerland,2021-10-26 01:22:13,46.8182,8.2275,865708,11193,,,10002.84472405368,,,1.2929301796910737,756,CHE,29026,139
Syria,2021-10-26 01:22:13,34.802075,38.99681500000001,41799,2517,,,238.8424617430077,,,6.021675159692816,760,SYR,8542,297
Taiwan*,2021-10-26 01:22:13,23.7,121.0,16376,847,,,68.75825967201689,,,5.172203224230581,158,TWN,179,5
Tajikistan,2021-10-26 01:22:13,38.861,71.2761,17486,125,,,183.33671991462882,,,0.7148576003660071,762,TJK,2,0
Tanzania,2021-10-26 01:22:13,-6.369028,34.888822,26115,725,,,43.718664210073385,,,2.7761822707256365,834,TZA,24667,674
Thailand,2021-10-26 01:22:13,15.870032,100.992541,1859157,18799,,,2663.549550115904,,,1.011157207271898,764,THA,288844,2487
Timor-Leste,2021-10-26 01:22:13,-8.874217,125.727539,19774,121,,,1499.800522131425,,,0.6119146353797916,626,TLS,388,8
Togo,2021-10-26 01:22:13,8.6195,0.8248,26000,242,,,314.0575669936127,,,0.9307692307692308,768,TGO,774,16
Trinidad and Tobago,2021-10-26 01:22:13,10.6918,-61.2225,55798,1650,,,3987.020995490504,,,2.9570952363884015,780,TTO,5732,188
Tunisia,2021-10-26 01:22:13,33.886917,9.537499,711821,25155,,,6022.878478685071,,,3.5338940548255815,788,TUN,6779,417
Turkey,2021-10-26 01:22:13,38.9637,35.2433,7879438,69344,,,9342.571930514716,,,0.8800627658977709,792,TUR,812305,5946
US,2021-10-26 01:22:13,40.0,-100.0,45544970,737316,,,13823.863730541432,,,1.6188747077888077,840,USA,2512399,46862
Uganda,2021-10-26 01:22:13,1.373333,32.290275,125758,3200,,,274.9349598828185,,,2.5445697291623595,800,UGA,2529,55
Ukraine,2021-10-26 01:22:13,48.3794,31.1656,2913666,68365,,,6662.281191058834,,,2.346356789007388,804,UKR,397851,8727
United Arab Emirates,2021-10-26 01:22:13,23.424076,53.847818,739381,2131,,,7475.7441559492045,,,0.2882140601394951,784,ARE,4390,40
United Kingdom,2021-10-26 01:22:13,55.0,-3.0,8850908,139988,,,13037.898062169043,,,1.5816230379979093,826,GBR,1114377,3421
Uruguay,2021-10-26 01:22:13,-32.5228,-55.7658,392319,6073,,,11293.89269795813,,,1.5479749897404915,858,URY,3646,19
Uzbekistan,2021-10-26 01:22:13,41.377491,64.585262,183928,1306,,,549.5440748372855,,,0.7100604584402592,860,UZB,11479,82
Vanuatu,2021-10-26 01:22:13,-15.3767,166.9592,4,1,,,1.3666803334700013,,,25.0,548,VUT,0,0
Venezuela,2021-10-26 01:22:13,6.4238,-66.5897,400511,4810,,,1408.467445584625,,,1.2009657662336366,862,VEN,38471,415
Vietnam,2021-10-26 01:22:13,14.058324,108.277199,892579,21738,,,916.9837617217007,,,2.4354146803812324,704,VNM,132251,3089
West Bank and Gaza,2021-10-26 01:22:13,31.9522,35.2332,451459,4636,,,8849.680167232,,,1.02689280754177,275,PSE,53564,586
Yemen,2021-10-26 01:22:13,15.552727,48.516388,9694,1850,,,32.501878899621964,,,19.083969465648856,887,YEM,744,146
Zambia,2021-10-26 01:22:13,-13.133897,27.849332,209639,3659,,,1140.3367153402671,,,1.7453813460281722,894,ZMB,777,13
Zimbabwe,2021-10-26 01:22:13,-19.015438,29.154857,132688,4673,,,892.7447467110617,,,3.5217954901724347,716,ZWE,3026,65
